path	bytes	lines	mime	sha1
./.DS_Store	   10244	       7	application/octet-stream	df6fa340c1a916e309312568860a5249597d3f1e
./.bundle/config	       4	       1	text/plain	29e0c3615294958e3ca433eeab7a7199be318946
./.dockerignore	     874	      51	text/plain	81fa4fb424bdf54a81615afa468cb8fc791b1ea6
./.git/COMMIT_EDITMSG	       6	       1	text/plain	b06ffaf1aa63f8a795177c402e5f940d4629de43
./.git/FETCH_HEAD	      96	       1	text/plain	73c642b7bd9bf1c222143379974bff359b079c01
./.git/HEAD	      21	       1	text/plain	9f1df7eea4156be8a871c292b549b3325e425aa2
./.git/ORIG_HEAD	      41	       1	text/plain	0ca1eda3ff6f20f68ee3a47d44c332973182cf2e
./.git/config	     294	      12	text/plain	7f0af39b0c8e4939484123f3c4a19ac3a6a7b8d1
./.git/cursor/crepe/1ab7bbf97549a3ef3f9ba41edbcdf3caaa8a3d1b/index.bin	 1448056	   16790	application/octet-stream	3139e9f976c25323ff6bb68d945d84e690011beb
./.git/cursor/crepe/1ab7bbf97549a3ef3f9ba41edbcdf3caaa8a3d1b/metadata.json	      31	       0	application/json	741bd8c334b631161f915fc21c270a4efa5eac75
./.git/cursor/crepe/1ab7bbf97549a3ef3f9ba41edbcdf3caaa8a3d1b/postings.bin	  928762	    8958	application/octet-stream	0709fcfb4e11ff38c63e91344dc37c9eb888f720
./.git/description	      73	       1	text/plain	9635f1b7e12c045212819dd934d809ef07efa2f4
./.git/hooks/applypatch-msg.sample	     478	      15	text/x-shellscript	4de88eb95a5e93fd27e78b5fb3b5231a8d8917dd
./.git/hooks/commit-msg.sample	     896	      24	text/x-shellscript	ee1ed5aad98a435f2020b6de35c173b75d9affac
./.git/hooks/fsmonitor-watchman.sample	    4726	     174	text/x-perl	0ec0ec9ac11111433d17ea79e0ae8cec650dcfa4
./.git/hooks/post-update.sample	     189	       8	text/x-shellscript	b614c2f63da7dca9f1db2e7ade61ef30448fc96c
./.git/hooks/pre-applypatch.sample	     424	      14	text/x-shellscript	f208287c1a92525de9f5462e905a9d31de1e2d75
./.git/hooks/pre-commit.sample	    1643	      49	text/x-shellscript	a79d057388ee2c2fe6561d7697f1f5efcff96f23
./.git/hooks/pre-merge-commit.sample	     416	      13	text/x-shellscript	04c64e58bc25c149482ed45dbd79e40effb89eb7
./.git/hooks/pre-push.sample	    1374	      53	text/x-shellscript	a599b773b930ca83dbc3a5c7c13059ac4a6eaedc
./.git/hooks/pre-rebase.sample	    4898	     169	text/x-shellscript	288efdc0027db4cfd8b7c47c4aeddba09b6ded12
./.git/hooks/pre-receive.sample	     544	      24	text/x-shellscript	705a17d259e7896f0082fe2e9f2c0c3b127be5ac
./.git/hooks/prepare-commit-msg.sample	    1492	      42	text/x-shellscript	2584806ba147152ae005cb675aa4f01d5d068456
./.git/hooks/push-to-checkout.sample	    2783	      78	text/x-shellscript	508240328c8b55f8157c93c43bf5e291e5d2fbcb
./.git/hooks/sendemail-validate.sample	    2308	      77	text/x-shellscript	74cf1d5415a5c03c110240f749491297d65c4c98
./.git/hooks/update.sample	    3650	     128	text/x-shellscript	730e6bd5225478bab6147b7a62a6e2ae21d40507
./.git/index	   40265	     377	application/octet-stream	6c1da00fc45f218afcaa74e0941324429f7eef4d
./.git/info/exclude	     240	       6	text/plain	c879df015d97615050afa7b9641e3352a1e701ac
./.git/logs/HEAD	   13593	      85	text/plain	703c62e2a8369d2ad4f56c1a428cb9da95f4c949
./.git/logs/refs/heads/main	   10908	      68	text/plain	d8678b62e977c1bd6d7721bde28c726eff4ce297
./.git/logs/refs/remotes/origin/HEAD	     181	       1	text/plain	6b8a22cc9bad6e8edcfe307f01b7ae2ed229d4cd
./.git/logs/refs/remotes/origin/dependabot/bundler/kamal-2.11.0	     156	       1	text/plain	afe159ff9adb4db4704ab2c52f54f79846066070
./.git/logs/refs/remotes/origin/dependabot/bundler/rails-8.1.2.1	     155	       1	text/plain	5251c4d9f334cac81edcca0d8036fecf4d324819
./.git/logs/refs/remotes/origin/dependabot/bundler/rails-8.1.3	     155	       1	text/plain	7521757da138192e2b1f4d790e2a51884549faf9
./.git/logs/refs/remotes/origin/dependabot/bundler/solid_queue-1.4.0	     156	       1	text/plain	c8d2e614c56a2bb6760a8d6642f3ea80669d9970
./.git/logs/refs/remotes/origin/dependabot/bundler/thruster-0.1.19	     156	       1	text/plain	34643e9283ffa26c25da2ee6d169d1131f4957e2
./.git/logs/refs/remotes/origin/dependabot/bundler/thruster-0.1.20	     155	       1	text/plain	c6b4b877d3d3808fe391e6a28c59a223ec9e5ae2
./.git/logs/refs/remotes/origin/dependabot/github_actions/actions/cache-5	     156	       1	text/plain	0d8108c36ada275d8bf7e7e0f7ef8b435fbad4e4
./.git/logs/refs/remotes/origin/dependabot/github_actions/actions/upload-artifact-7	     156	       1	text/plain	a4b552bce444c83757662869d47a2b11e84c82ad
./.git/logs/refs/remotes/origin/main	   10284	      67	text/plain	1536330746e65247e9a34b1a6d1bf95322d4f077
./.git/logs/refs/stash	     151	       1	text/plain	dc77aa0a8c57337cb6fc7022074ea21d79e3f042
./.git/objects/00/050045bafc74fe43da3eef64a75ab8e637b1eb	    9426	      33	application/zlib	906213f5f37c35bdf5720276b42f3c0d4a1f1ab6
./.git/objects/00/9fb938cfbf34ce78321624254aff2f5fa05536	     196	       1	application/zlib	edadacc929d963f2d4065acc104a2309f64750ba
./.git/objects/00/be93d1bdf3d626971eaafc8c6551602d4ae390	      58	       0	application/zlib	71b7762f0120c4d5ed65312fc8da8bd24af6bbb2
./.git/objects/00/cd963f0386e89ab4dcd82244d53f4fc3078e4c	     816	       4	application/zlib	4ba7cffac5baedde72651df4a038a63ddd51cf0f
